INCI	국문명
Benzyl Alcohol	벤질알코올
Citral	시트랄
Isoeugenol	아이소유제놀
Citronellol	시트로넬올
Limonene	리모넨
Pinus Mugo Leaf Oil	무고소나무잎오일
Pinus Mugo	무고소나무
Pinus Mugo Twig Oil	무고소나무잔가지오일
Pinus Pumila Needle Extract	눈잣나무잎추출물
Pinus Pumila	눈잣나무
Pinus Pumila Twig Leaf Extract	눈잣나무잎/잔가지추출물
Pinus Pumila Twig Leaf Oil	눈잣나무잎/잔가지오일
Cedrus Atlantica Bark Extract	아틀라스시다껍질추출물
Cedrus Atlantica Oil/Extract	아틀라스시다오일/추출물
Cedrus Atlantica Bark Oil	아틀라스시다나무껍질오일
Cedrus Atlantica Bark Water	아틀라스시다나무껍질수
Cedrus Atlantica Leaf Extract	아틀라스시다잎추출물
Cedrus Atlantica Wood Extract	아틀라스시다목부추출물
Cedrus Atlantica Wood Oil	아틀라스시다목부오일
Turpentine	터펜틴
Terpinolene	터피놀렌
Myroxylon Pereirae Oil/ Extract	발삼페루오일/추출물
Myroxylon Pereirae Oil	발삼페루오일
Myroxylon Pereirae Resin Extract	발삼페루수지추출물
Myroxylon Pereirae Resin	발삼페루수지
cis-Rose ketone 1	알파-다마스콘
Rose Ketones	로즈케톤즈
trans-Rose ketone 1	트랜스-로즈케톤-1
Rose ketone 4 (Damascone)	로즈케톤-4
Rose ketone 3 (delta-Damascone)	로즈케톤-3
trans-Rose ketone 3	트랜스-로즈케톤-3
cis-Rose ketone 2 (cis-beta-Damascone)	시스-로즈케톤-2
trans-Rose ketone 2 (trans-beta-Damascone)	트랜스-로즈케톤-2
3-Propylidenephthalide	3-프로필리덴프탈라이드
Methyl Salicylate	메틸살리실레이트
Acetyl Cedrene	아세틸세드렌
Amyl Salicylate	아밀살리실레이트
Anethole	아네솔
Benzaldehyde	벤즈알데하이드
Camphor	캠퍼
Beta-Caryophyllene	베타-카리오필렌
Carvone	카르본
Dimethyl Phenethyl Acetate	다이메틸페네틸아세테이트
Hexadecanolactone	헥사데카노락톤
Hexamethylindanopyran	헥사메틸인다노피란
Linalyl Acetate	리날릴아세테이트
Menthol	멘톨
Trimethylcyclopentenyl Methylisopentenol	트라이메틸사이클로펜테닐메틸아이소펜텐올
Salicylaldehyde	살리실알데하이드
Santalol	산탈올
Sclareol	스클라레올
Terpineol	터피네올
Tetramethyl acetyloctahydronaphthalenes	테트라메틸아세틸옥타하이드로나프탈렌
Trimethylbenzenepropanol	트라이메틸벤젠프로판올
Vanillin	바닐린
Cananga Odorata Flower Extract	일랑일랑꽃추출물
Cananga Odorata Oil/Extract	일랑일랑오일/추출물
Cananga Odorata Flower Oil	일랑일랑꽃오일
Cinnamomum Cassia Leaf Oil	육계잎오일
Cinnamomum Zeylanicum Bark Oil	실론시나몬나무껍질오일
Citrus Aurantium Amara Flower Oil	비터오렌지꽃오일
Citrus Aurantium Flower Oil	오렌지꽃오일
Citrus Aurantium Dulcis Flower Oil	오렌지꽃오일
Citrus Aurantium Amara Peel Oil	비터오렌지껍질오일
Citrus Aurantium Peel Oil	오렌지껍질오일
Citrus Aurantium Dulcis Peel Oil;	오렌지껍질오일
Citrus Sinensis Peel Oil	당귤껍질오일
Citrus Aurantium Bergamia Peel Oil	베르가모트껍질오일
Citrus Limon Peel Oil	레몬껍질오일
Cymbopogon Schoenanthus Oil	카멜그라스오일
Lemongrass Oil	레몬그라스오일
Cymbopogon Flexuosus Oil	동인도레몬그라스오일
Cymbopogon Citratus Leaf Oil	레몬그라스잎오일
Eucalyptus Globulus Leaf Oil	유칼립투스잎오일
Eucalyptus Globulus Oil	유칼립투스오일
Eucalyptus Globulus Leaf/Twig Oil	유칼립투스잎/잔가지오일
Eugenia Caryophyllus Leaf Oil	클로브잎오일
Eugenia Caryophyllus Oil	클로브오일
Eugenia Caryophyllus Flower Oil	클로브꽃오일
Eugenia Caryophyllus Stem oil	클로브줄기오일
Eugenia Caryophyllus Bud oil	클로브싹오일
Jasminum Grandiflorum Flower Extract	스페인자스민꽃추출물
Jasmine Oil/Extract	자스민오일/추출물
Jasminum Officinale Oil	커먼자스민오일
Jasminum Officinale Flower Extract	커먼자스민꽃추출물
Juniperus Virginiana Oil	연필향나무오일
Juniperus Virginiana Wood Oil	연필향나무목부오일
Laurus Nobilis Leaf Oil	월계수잎오일
Lavandula Hybrida Oil	라반딘오일
Lavandula Oil/ Extract	라벤더오일/추출물
Lavandula Hybrida Extract	라반딘추출물
Lavandula Hybrida Flower Extract	라반딘꽃추출물
Lavandula Intermedia Flower/Leaf/Stem Extract	더치라벤더꽃/잎/줄기추출물
Lavandula Intermedia Flower/Leaf/Stem Oil	더치라벤더꽃/잎/줄기오일
Lavandula Intermedia Oil	더치라벤더오일
Lavandula Angustifolia Oil	라벤더오일
Lavandula Angustifolia Flower/Leaf/Stem Extract	라벤더꽃/잎/줄기추출물
Mentha Piperita Oil	페퍼민트오일
Mentha Viridis Leaf Oil	스피어민트잎오일
Narcissus Poeticus Extract	입술연지수선화추출물
Narcissus Extract	수선화추출물
Narcissus Pseudonarcissus Flower Extract	나팔수선화추출물
Narcissus Tazetta Extract	황수선추출물
Pelargonium Graveolens Flower Oil	센티드제라늄꽃오일
Pogostemon Cablin Oil	광곽향오일
Rosa Damascena Flower Extract	다마스크장미꽃오일
Rose Flower Oil/Extract	장미꽃오일/추출물
Rosa Alba Flower Extract	하얀장미꽃오일
Rosa Canina Flower Oil	로즈힙꽃오일
Rosa Centifolia Flower Extract	프로방스장미꽃오일
Rosa Gallica Flower Oil	프렌치로즈꽃오일
Rosa Moschata Flower Oil	사향장미꽃오일
Rosa Rugosa Flower Oil	해당화오일
Santalum Album Oil	단향오일
Eugenyl Acetate	유제닐아세테이트
Geranyl Acetate	제라닐아세테이트
Isoeugenyl Acetate	아이소유제닐아세테이트
Pinene	피넨
